TIPO DIA,AÑO,MES,DIA,HORA,DEMANDA,Total Residencial,Total No Residencial,total_usuarios,ALLSKY_SFC_SW_DWN_pond,ALLSKY_KT_pond,T2M_pond,RH2M_pond,PRECTOTCORR_pond,CLRSKY_SFC_SW_DWN_pond,T2MWET_pond,Tasa de cambio representativa del mercado (TRM),IPP,IPC,FECHA
JUEVES,2023,5,4,13,1498.20515,2518629.0,278093.0,2796722.0,858.9542589181191,0.7041625946375792,25.86095479994079,57.88335341875238,0.0006754264456746,941.8311203616232,21.385593173007543,4667.09,177.7,133.38,2023-05-04 13:00:00
VIERNES,2023,5,5,13,1504.46546,2518629.0,278093.0,2796722.0,736.6986572458757,0.6061645419172874,25.58940219299594,61.0955478127608,0.1113810775615166,915.0972487898332,21.54545826149328,4616.58,177.7,133.38,2023-05-05 13:00:00
SABADO,2023,5,6,13,1395.68947,2518629.0,278093.0,2796722.0,643.6381995064221,0.5275513940963743,24.899602541832905,59.74267518544925,0.0823707790763615,899.2103358002691,20.70769824458777,4552.56,177.7,133.38,2023-05-06 13:00:00
DOMINGO,2023,5,7,13,1195.23933,2518629.0,278093.0,2796722.0,768.323078686405,0.6323152068743336,25.87128255507698,56.189170872185365,0.000140092579813,923.0516344813678,21.15826587340465,4552.56,177.7,133.38,2023-05-07 13:00:00
LUNES,2023,5,8,13,1507.89186,2518629.0,278093.0,2796722.0,737.6963132374258,0.603983209628987,25.853952230504145,58.25358052391335,0.0110992190142602,911.8970403922876,21.42687632878777,4552.56,177.7,133.38,2023-05-08 13:00:00
MARTES,2023,5,9,13,1531.56347,2518629.0,278093.0,2796722.0,708.1801839653709,0.5857333514021057,24.54743858345592,65.76059969135295,0.1652010818379517,918.1756679677136,21.123637987615503,4490.58,177.7,133.38,2023-05-09 13:00:00
MIERCOLES,2023,5,10,13,1464.67658,2518629.0,278093.0,2796722.0,384.3767138814655,0.3180454188868253,21.340213814601523,75.63366412178257,0.0897914200982435,904.8177765827278,19.06668552326617,4540.34,177.7,133.38,2023-05-10 13:00:00
JUEVES,2023,5,11,13,1501.90539,2518629.0,278093.0,2796722.0,759.9032520250493,0.6270453731189586,24.07921739450685,64.5345318590836,0.0168984904470304,928.73819440402,20.536392548133133,4545.39,177.7,133.38,2023-05-11 13:00:00
VIERNES,2023,5,12,13,1493.26355,2518629.0,278093.0,2796722.0,627.9206749794938,0.5228649039840213,23.353626724429528,67.5964046909203,0.0866942727950793,907.1039592351332,20.185988850518573,4601.15,177.7,133.38,2023-05-12 13:00:00
SABADO,2023,5,13,13,1393.26495,2518629.0,278093.0,2796722.0,544.0605462287635,0.454129008889693,22.24456098246447,73.65272945970318,0.0106986000038616,898.053602885807,19.77687160182528,4564.44,177.7,133.38,2023-05-13 13:00:00
