TIPO DIA,AÑO,MES,DIA,HORA,Total Residencial,Total No Residencial,total_usuarios,ALLSKY_SFC_SW_DWN_pond,ALLSKY_KT_pond,T2M_pond,RH2M_pond,PRECTOTCORR_pond,CLRSKY_SFC_SW_DWN_pond,T2MWET_pond,Tasa de cambio representativa del mercado (TRM),IPP,IPC,FECHA,DEMANDA
MARTES,2018,3,13,8,2143815.0,204343.0,2348158.0,193.51524907182568,0.2522585234894756,18.523758601422905,94.91015577316348,0.2325009092233146,516.5364249978068,18.09514817571901,2851.84,113.68,98.45,2018-03-13 08:00:00,1228.41
MIVENE,2022,1,5,20,2415165.0,271706.0,2686871.0,0.0,-999.0,17.20340228466495,95.49115137645238,0.1737077961688521,0.0,16.8042665613645,4084.11,152.8,113.26,2022-01-05 20:00:00,1283.3514
MIERCOLES,2019,7,24,14,2237105.0,211689.0,2448794.0,521.4139645147775,0.4976496838852104,22.70343955432756,66.005806188679,0.0758771542236709,775.776063523514,19.352748601964887,3188.01,120.73,102.94,2019-07-24 14:00:00,1327.71
DOMINGO,2019,9,1,3,2249986.0,213059.0,2463045.0,0.0,-999.0,16.777755968729764,97.07419084101184,0.193765075343731,0.0,16.550365519103387,3427.29,122.23,103.26,2019-09-01 03:00:00,691.57
MIERCOLES,2019,10,30,16,2258752.0,213513.0,2472265.0,194.63453951740613,0.4938654796310266,21.44919953564849,83.52382459404636,0.4455407086214463,228.2594573801757,19.9930705041733,3380.9,122.56,103.43,2019-10-30 16:00:00,1263.0
LUNES,2021,12,13,15,2410661.0,271264.0,2681925.0,447.8869574615249,0.6433634572182294,23.29819692944433,59.88389728273535,0.0004526077351156,499.9636089935401,19.15300270887516,3887.71,147.65,111.41,2021-12-13 15:00:00,1368.47011
MARTES,2023,8,1,18,2535237.0,278894.0,2814131.0,-999.0,-999.0,19.01757966846604,91.53041606805084,0.1982674402861843,-999.0,18.305898783674248,3898.48,175.6,135.39,2023-08-01 18:00:00,1438.70598
JSS,2023,4,6,4,2512448.0,277935.0,2790383.0,0.0,-999.0,15.902915409820087,97.26851057722185,0.3610572849676908,0.0,15.691264256555462,4570.91,179.17,132.8,2023-04-06 04:00:00,812.34077
VIERNES,2018,9,14,13,2176864.0,207081.0,2383945.0,506.6596193158819,0.4127809198618257,20.900793709586424,72.65446647049323,0.2575519317769495,917.768666449939,18.35202276898167,3019.38,116.1,99.46,2018-09-14 13:00:00,1262.74
JUEVES,2018,3,22,3,2143815.0,204343.0,2348158.0,0.0,-999.0,16.064518371421343,98.93167127595332,0.0174120480819433,0.0,16.031238430293023,2850.69,113.68,98.45,2018-03-22 03:00:00,825.82
MIVENE,2022,1,12,3,2415165.0,271706.0,2686871.0,0.0,-999.0,16.07574334979238,97.31979362239572,0.075923298885581,0.0,15.869017783138826,4011.65,152.8,113.26,2022-01-12 03:00:00,813.27814
DOMINGO,2023,5,28,6,2518629.0,278093.0,2796722.0,65.02580299722317,0.290233080012958,17.189566113471415,97.99501371248198,2.624143733270593,106.20589457586416,17.02427105733069,4461.66,177.7,133.38,2023-05-28 06:00:00,788.79426
MARTES,2022,5,17,23,2442838.0,273275.0,2716113.0,0.0,-999.0,18.486939217919137,99.12091612536004,1.4635535524479284,0.0,18.417579312790007,4070.25,166.84,118.7,2022-05-17 23:00:00,954.9587
MIERCOLES,2020,8,26,12,2310289.0,264142.0,2574431.0,581.302087206843,0.4412944918702424,23.10923693818168,65.00000489816972,0.0624225042349163,1013.4826809186184,19.635977534453243,3867.32,123.54,104.96,2020-08-26 12:00:00,1240.42398
MARTES,2018,9,18,5,2176864.0,207081.0,2383945.0,0.0,-999.0,15.961310768495078,98.01588985484145,0.1088004966557533,0.0,15.801641015207984,3013.38,116.1,99.46,2018-09-18 05:00:00,974.22
